Gmt time,Open,High,Low,Close,Volume
01.01.2016 00:00:00.000,120.303,120.303,120.303,120.303,0
02.01.2016 00:00:00.000,120.303,120.303,120.303,120.303,0
03.01.2016 00:00:00.000,120.233,120.393,120.221,120.320,3842840087.8906
04.01.2016 00:00:00.000,120.319,120.469,118.705,119.474,137851812500
05.01.2016 00:00:00.000,119.477,119.699,118.797,119.115,151042906250
06.01.2016 00:00:00.000,119.114,119.165,118.254,118.626,173533937500
07.01.2016 00:00:00.000,118.626,118.759,117.331,117.533,195770015625
08.01.2016 00:00:00.000,117.537,118.848,117.232,117.271,183177921875
09.01.2016 00:00:00.000,117.271,117.271,117.271,117.271,0
10.01.2016 00:00:00.000,117.232,117.232,116.703,117.065,10476809570.3125
11.01.2016 00:00:00.000,117.068,118.026,116.979,117.690,187238218750
12.01.2016 00:00:00.000,117.688,118.076,117.231,117.840,190407953125
13.01.2016 00:00:00.000,117.838,118.382,117.377,117.421,180124781250
14.01.2016 00:00:00.000,117.423,118.281,117.297,118.230,203790984375
15.01.2016 00:00:00.000,118.230,118.267,116.512,117.057,209093562500
16.01.2016 00:00:00.000,117.057,117.057,117.057,117.057,0
17.01.2016 00:00:00.000,116.770,117.058,116.731,117.004,6556660156.25
18.01.2016 00:00:00.000,117.005,117.449,116.930,117.404,131433843750
19.01.2016 00:00:00.000,117.405,118.117,117.235,117.570,181142281250
20.01.2016 00:00:00.000,117.568,117.571,115.976,117.200,234291046875
21.01.2016 00:00:00.000,117.203,117.939,116.474,117.930,274995687500
22.01.2016 00:00:00.000,117.929,118.878,117.543,118.805,189940937500
23.01.2016 00:00:00.000,118.805,118.805,118.805,118.805,0
24.01.2016 00:00:00.000,118.683,118.798,118.566,118.566,4492120117.1875
25.01.2016 00:00:00.000,118.565,118.859,118.174,118.239,167802593750
26.01.2016 00:00:00.000,118.238,118.624,117.660,118.392,165925703125
27.01.2016 00:00:00.000,118.392,119.075,118.046,118.485,188971796875
28.01.2016 00:00:00.000,118.487,118.994,118.420,118.931,177617687500
29.01.2016 00:00:00.000,118.933,121.689,118.526,121.137,211941718750
30.01.2016 00:00:00.000,121.137,121.137,121.137,121.137,0
31.01.2016 00:00:00.000,121.349,121.497,121.168,121.353,8049750000
01.02.2016 00:00:00.000,121.353,121.442,120.682,120.860,154156343750
02.02.2016 00:00:00.000,120.860,121.018,119.698,119.854,177375843750
03.02.2016 00:00:00.000,119.854,120.047,117.057,118.171,228305843750
04.02.2016 00:00:00.000,118.170,118.214,116.530,116.860,220235515625
05.02.2016 00:00:00.000,116.859,117.432,116.307,116.863,188069109375
06.02.2016 00:00:00.000,116.863,116.863,116.863,116.863,0
07.02.2016 00:00:00.000,116.867,117.011,116.865,116.956,8864440429.6875
08.02.2016 00:00:00.000,116.958,117.528,115.179,115.673,204825828125
09.02.2016 00:00:00.000,115.668,115.669,114.215,115.193,269914500000
10.02.2016 00:00:00.000,115.192,115.224,113.126,113.248,259509406250
11.02.2016 00:00:00.000,113.246,113.494,110.992,112.501,273566062500
12.02.2016 00:00:00.000,112.500,113.544,111.667,113.253,239759953125
13.02.2016 00:00:00.000,113.253,113.253,113.253,113.253,0
14.02.2016 00:00:00.000,113.424,113.713,113.305,113.686,7600029785.1563
15.02.2016 00:00:00.000,113.681,114.734,113.277,114.354,166345078125
16.02.2016 00:00:00.000,114.356,114.878,113.600,114.140,182785421875
17.02.2016 00:00:00.000,114.138,114.507,113.377,114.302,186398968750
18.02.2016 00:00:00.000,114.302,114.327,113.144,113.259,165816140625
19.02.2016 00:00:00.000,113.259,113.300,112.311,112.598,170880562500
20.02.2016 00:00:00.000,112.598,112.598,112.598,112.598,0
21.02.2016 00:00:00.000,112.584,112.652,112.431,112.531,6152560058.5938
22.02.2016 00:00:00.000,112.534,113.391,112.515,112.962,151982921875
23.02.2016 00:00:00.000,112.960,113.004,111.777,111.914,193462984375
24.02.2016 00:00:00.000,111.914,112.268,111.047,112.071,199884093750
25.02.2016 00:00:00.000,112.069,113.170,111.986,113.149,197883906250
26.02.2016 00:00:00.000,113.148,114.001,112.563,113.993,162181484375
27.02.2016 00:00:00.000,113.993,113.993,113.993,113.993,0
28.02.2016 00:00:00.000,113.985,113.996,113.566,113.724,8213990234.375
29.02.2016 00:00:00.000,113.723,113.862,112.202,112.417,186344125000
01.03.2016 00:00:00.000,112.418,114.188,112.163,113.921,177951031250
02.03.2016 00:00:00.000,113.921,114.557,113.220,113.492,192736421875
03.03.2016 00:00:00.000,113.492,114.272,113.300,113.697,193163312500
04.03.2016 00:00:00.000,113.697,114.260,113.124,113.792,201116765625
05.03.2016 00:00:00.000,113.792,113.792,113.792,113.792,0
06.03.2016 00:00:00.000,113.967,113.974,113.769,113.834,8280690429.6875
07.03.2016 00:00:00.000,113.836,113.866,113.228,113.498,164200703125
08.03.2016 00:00:00.000,113.497,113.520,112.429,112.699,206533359375
09.03.2016 00:00:00.000,112.695,113.457,112.230,113.238,176173937500
10.03.2016 00:00:00.000,113.238,114.449,112.624,112.856,241220031250
11.03.2016 00:00:00.000,112.856,113.920,112.761,113.854,174923812500
12.03.2016 00:00:00.000,113.854,113.854,113.854,113.854,0
13.03.2016 00:00:00.000,113.979,113.979,113.648,113.783,8526299804.6875
14.03.2016 00:00:00.000,113.779,114.011,113.510,113.832,137228812500
15.03.2016 00:00:00.000,113.832,114.152,112.635,113.109,169592531250
16.03.2016 00:00:00.000,113.107,113.821,112.334,112.801,171713984375
