date,price,price_direction
2016-08-11,104.9845,up
2016-08-12,114.06049999999999,up
2016-08-13,101.30799999999999,down
2016-08-14,101.2615,down
2016-08-15,101.26599999999999,up
2016-08-16,100.1705,down
2016-08-17,99.8985,down
2016-08-18,100.136,up
2016-08-19,100.2135,up
2016-08-20,100.2135,up
2016-08-21,100.563,up
2016-08-22,100.273,down
2016-08-23,100.3005,up
2016-08-24,100.568,up
2016-08-25,100.56549999999999,down
2016-08-26,101.83,up
2016-08-27,101.83,up
2016-08-28,101.92,up
2016-08-29,101.83699999999999,down
2016-08-30,102.889,up
2016-08-31,103.3175,up
2016-09-01,117.2465,up
2016-09-02,115.1885,down
2016-09-03,113.2345,down
2016-09-04,108.06299999999999,down
2016-09-05,108.366,up
2016-09-06,107.112,down
2016-09-07,100.5695,down
2016-09-08,101.93,up
2016-09-09,102.69149999999999,up
2016-09-10,103.0375,up
2016-09-11,105.80950000000001,up
2016-09-12,115.31700000000001,up
2016-09-13,102.49549999999999,down
2016-09-14,102.5555,up
2016-09-15,101.9885,down
2016-09-16,102.2895,up
2016-09-17,102.2895,up
2016-09-18,102.32,up
2016-09-19,101.903,down
2016-09-20,101.6155,down
2016-09-21,100.3955,down
2016-09-22,100.838,up
2016-09-23,101.04249999999999,up
2016-09-24,101.04249999999999,up
2016-09-25,100.91900000000001,down
2016-09-26,100.37950000000001,down
2016-09-27,100.492,up
2016-09-28,100.944,up
2016-09-29,101.2,up
2016-09-30,101.3335,up
2016-10-01,117.0615,up
2016-10-02,113.2445,down
2016-10-03,112.851,down
2016-10-04,108.29650000000001,down
2016-10-05,109.219,up
2016-10-06,106.9675,down
2016-10-07,100.70249999999999,down
2016-10-08,101.14150000000001,up
2016-10-09,102.69149999999999,up
2016-10-10,103.707,up
2016-10-11,106.811,up
2016-10-12,115.31700000000001,up
2016-10-13,103.7305,down
2016-10-14,104.136,up
2016-10-15,104.136,up
2016-10-16,104.04650000000001,down
2016-10-17,103.8605,down
2016-10-18,103.866,up
2016-10-19,103.39699999999999,down
2016-10-20,104.115,up
2016-10-21,103.82900000000001,down
2016-10-22,103.82900000000001,up
2016-10-23,103.92,up
2016-10-24,104.3275,up
2016-10-25,104.17,down
2016-10-26,104.565,up
2016-10-27,105.2245,up
2016-10-28,104.717,down
2016-10-29,104.717,up
2016-10-30,104.57149999999999,down
2016-10-31,104.8275,up
2016-11-01,117.687,up
2016-11-02,112.49549999999999,down
2016-11-03,113.846,up
2016-11-04,107.95150000000001,down
2016-11-05,108.42,up
2016-11-06,106.9675,down
2016-11-07,102.51050000000001,down
2016-11-08,101.82849999999999,down
2016-11-09,102.4745,up
2016-11-10,103.3605,up
2016-11-11,106.6695,up
2016-11-12,115.42,up
2016-11-13,106.887,down
2016-11-14,108.214,up
2016-11-15,108.98750000000001,up
2016-11-16,108.7775,down
2016-11-17,110.2445,up
2016-11-18,110.9065,up
2016-11-19,110.9065,up
2016-11-20,110.9485,up
2016-11-21,110.661,down
2016-11-22,110.983,up
2016-11-23,112.5575,up
2016-11-24,113.2645,up
2016-11-25,113.226,down
2016-11-26,113.226,up
2016-11-27,112.646,down
2016-11-28,111.671,down
2016-11-29,112.4665,up
2016-11-30,114.684,up
2016-12-01,117.8375,up
2016-12-02,113.2225,down
2016-12-03,113.846,up
2016-12-04,108.702,down
2016-12-05,109.094,up
2016-12-06,106.484,down
2016-12-07,104.72749999999999,down
2016-12-08,101.30799999999999,down
2016-12-09,101.74000000000001,up
2016-12-10,104.3065,up
2016-12-11,106.6695,up
2016-12-12,114.97999999999999,up
2016-12-13,115.2195,up
2016-12-14,117.20599999999999,up
2016-12-15,118.253,up
2016-12-16,117.9435,down
2016-12-17,117.9435,up
2016-12-18,117.80850000000001,down
2016-12-19,117.021,down
2016-12-20,117.835,up
2016-12-21,117.6225,down
2016-12-22,117.5315,down
2016-12-23,117.33600000000001,down
2016-12-24,117.33600000000001,up
2016-12-25,117.322,down
2016-12-26,117.1965,down
2016-12-27,117.485,up
2016-12-28,117.086,down
2016-12-29,116.31,down
2016-12-30,116.99549999999999,up
2016-12-31,116.99549999999999,up
2017-01-01,116.7935,down
2017-01-02,113.29750000000001,down
2017-01-03,114.12049999999999,up
2017-01-04,111.3885,down
2017-01-05,111.821,up
2017-01-06,111.44399999999999,down
2017-01-07,112.3755,up
